Freeway-Direction,Sensor Order,Sensor
87-S,16,401457
87-S,17,400457
87-S,18,404462
87-S,19,401958
87-S,20,401154
87-S,21,400842
880-N,1,408907
880-N,2,400951
880-N,3,400057
880-N,4,400147
880-N,5,400343
880-N,6,401560
880-N,7,400045
880-N,8,400122
880-N,9,401541
880-N,10,402281
880-N,11,402283
880-N,12,402285
880-N,13,402286
880-N,14,400088
880-N,15,402288
880-N,16,413026
880-N,17,401464
880-N,18,401489
880-S,1,402119
880-S,2,402289
880-S,3,400238
880-S,4,402287
880-S,5,402120
880-S,6,402284
880-S,7,402282
880-S,8,402121
880-S,9,400971
880-S,10,404759
880-S,11,400479
880-S,12,400030
880-S,13,401440
880-S,14,403225
880-S,15,403265
880-S,16,400508
880-S,17,400253
880-S,18,400709
880-S,19,400514
880-S,20,400723
880-S,21,408911
880-S,22,401611
